trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
819050,1,3,"DOWNTOWN",,1,505,shp-1-01,0,0
2788050,1,3,"DOWNTOWN",,1,1905,shp-1-01,0,0
4242050,1,3,"DOWNTOWN",,1,2205,shp-1-01,0,0
2603050,1,3,"DOWNTOWN",,1,705,shp-1-01,0,0
3979010,1,2,"DOWNTOWN",,1,2201,shp-1-01,0,0
2245070,1,4,"DOWNTOWN",,1,4307,shp-1-01,0,0
5234010,1,2,"DOWNTOWN",,1,2201,shp-1-01,0,0
862050,1,3,"DOWNTOWN",,1,2005,shp-1-01,0,0
281070,1,4,"DOWNTOWN",,1,5707,shp-1-01,0,0
1680020,1,1,"DOWNTOWN",,1,8402,shp-1-01,0,0
3782020,1,1,"DOWNTOWN",,1,1102,shp-1-01,0,0
4705050,1,3,"DOWNTOWN",,1,1605,shp-1-01,0,0
4655050,1,3,"DOWNTOWN",,1,2305,shp-1-01,0,0
3618050,1,3,"DOWNTOWN",,1,2005,shp-1-01,0,0
602020,1,1,"DOWNTOWN",,1,2402,shp-1-01,0,0
4343020,1,1,"DOWNTOWN",,1,602,shp-1-01,0,0
4477010,1,2,"DOWNTOWN",,1,6201,shp-1-01,0,0
163010,1,2,"DOWNTOWN",,1,4701,shp-1-01,0,0
5210050,1,3,"DOWNTOWN",,1,1105,shp-1-01,0,0
1417010,1,2,"DOWNTOWN",,1,5801,shp-1-01,0,0
3655020,1,1,"DOWNTOWN",,1,4502,shp-1-01,0,0
4991050,1,3,"DOWNTOWN",,1,505,shp-1-01,0,0
3897050,1,3,"DOWNTOWN",,1,2705,shp-1-01,0,0
4292050,1,3,"DOWNTOWN",,1,2505,shp-1-01,0,0
1989010,1,2,"DOWNTOWN",,1,2501,shp-1-01,0,0
2928020,1,1,"DOWNTOWN",,1,2102,shp-1-01,0,0
4780050,1,3,"DOWNTOWN",,1,8305,shp-1-01,0,0
1379070,1,4,"DOWNTOWN",,1,2807,shp-1-01,0,0
4067050,1,3,"DOWNTOWN",,1,1705,shp-1-01,0,0
1469070,1,4,"DOWNTOWN",,1,2907,shp-1-01,0,0
3127050,1,3,"DOWNTOWN",,1,2405,shp-1-01,0,0
3722050,1,3,"DOWNTOWN",,1,8405,shp-1-01,0,0
2964020,1,1,"DOWNTOWN",,1,2202,shp-1-01,0,0
4991020,1,1,"DOWNTOWN",,1,502,shp-1-01,0,0
602050,1,3,"DOWNTOWN",,1,2405,shp-1-01,0,0
4435010,1,2,"DOWNTOWN",,1,2101,shp-1-01,0,0
2267050,1,3,"DOWNTOWN",,1,2305,shp-1-01,0,0
2498010,1,2,"DOWNTOWN",,1,6101,shp-1-01,0,0
4008070,1,4,"DOWNTOWN",,1,2807,shp-1-01,0,0
3098050,1,3,"DOWNTOWN",,1,805,shp-1-01,0,0
3655050,1,3,"DOWNTOWN",,1,4505,shp-1-01,0,0
2593020,1,1,"DOWNTOWN",,1,1802,shp-1-01,0,0
1967050,1,3,"DOWNTOWN",,1,2605,shp-1-01,0,0
4700050,1,3,"DOWNTOWN",,1,1705,shp-1-01,0,0
2381050,1,3,"DOWNTOWN",,1,705,shp-1-01,0,0
3897020,1,1,"DOWNTOWN",,1,2702,shp-1-01,0,0
3074050,1,3,"DOWNTOWN",,1,2705,shp-1-01,0,0
1235010,1,2,"DOWNTOWN",,1,5701,shp-1-01,0,0
2813010,1,2,"DOWNTOWN",,1,5901,shp-1-01,0,0
3787050,1,3,"DOWNTOWN",,1,505,shp-1-01,0,0
5000070,1,4,"DOWNTOWN",,1,2807,shp-1-01,0,0
4067020,1,1,"DOWNTOWN",,1,1702,shp-1-01,0,0
4321010,1,2,"DOWNTOWN",,1,2101,shp-1-01,0,0
4343050,1,3,"DOWNTOWN",,1,605,shp-1-01,0,0
4497050,1,3,"DOWNTOWN",,1,1905,shp-1-01,0,0
4184020,1,1,"DOWNTOWN",,1,2602,shp-1-01,0,0
4123020,1,1,"DOWNTOWN",,1,902,shp-1-01,0,0
1256050,1,3,"DOWNTOWN",,1,1805,shp-1-01,0,0
