stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
157,8031,"Poole Rd at Old Poole Rd (EB)",,35.762450,-78.555570,,,,,,0
158,8032,"Triangle Town Center Mall at Barnes and Noble",,35.865880,-78.576530,,,,,,0
159,8033,"Capital Blvd at Sumner Blvd (SB)",,35.865597,-78.582402,,,,,,0
160,8034,"Capital Blvd at Oak Forest Dr (SB)",,35.860742,-78.581924,,,,,,0
161,8035,"Capital Blvd at Spring Forest Rd (SB)",,35.853399,-78.581127,,,,,,0
162,8036,"Capital Blvd at Millbrook Rd",,35.849060,-78.580702,,,,,,0
163,8037,"Capital Blvd at Sumner Blvd (NB)",,35.865702,-78.581940,,,,,,0
164,8038,"Capital Blvd At Calvary Dr",,35.843724,-78.580113,,,,,,0
165,8039,"Capital Blvd at Deana Dr",,35.837750,-78.581040,,,,,,0
166,8040,"Capital Blvd at New Hope Church Rd",,35.834180,-78.583290,,,,,,0
167,8041,"Capital Blvd at Greywood Dr (SB)",,35.832340,-78.584360,,,,,,0
168,8042,"Capital Blvd at Old Buffaloe Rd (SB)",,35.827587,-78.585933,,,,,,0
169,8043,"Capital Blvd at Mayflower Dr",,35.825210,-78.586960,,,,,,0
170,8044,"Capital Blvd at Huntleigh Dr",,35.820870,-78.592010,,,,,,0
171,8045,"Capital Blvd at Brentwood Rd (SB)",,35.818687,-78.596864,,,,,,0
172,8046,"Capital Blvd at Highwoods Blvd",,35.817539,-78.599335,,,,,,0
173,8047,"Capital Blvd at Hodges St (SB)",,35.810800,-78.612367,,,,,,0
174,8048,"Capital Blvd at Crabtree Blvd (SB)",,35.806917,-78.616121,,,,,,0
175,8049,"Capital Blvd at Tillery Pl",,35.804238,-78.620105,,,,,,0
176,8050,"Barwell Rd at Charles St (NB)",,35.752480,-78.535250,,,,,,0
177,8051,"Wake Forest Rd at Brookside Dr",,35.800177,-78.625555,,,,,,0
178,8052,"Barwell Rd at Charles St (SB)",,35.752770,-78.535530,,,,,,0
179,8053,"Wake Forest Rd at Sycamore St",,35.797521,-78.629469,,,,,,0
180,8054,"Wake Forest Rd at Chestnut St",,35.796172,-78.630363,,,,,,0
181,8055,"Barwell Rd at Damon Ct",,35.745422,-78.536453,,,,,,0
182,8056,"N Blount St at Cedar St",,35.793950,-78.635690,,,,,,0
183,8057,"N Blount St at Delway St",,35.791390,-78.635890,,,,,,0
184,8058,"Salisbury St at Parking Deck",,35.787054,-78.639666,,,,,,0
185,8059,"Salisbury St at Lane St",,35.785107,-78.639975,,,,,,0
186,8060,"Barwell Rd at Chatmoss Dr",,35.744990,-78.537350,,,,,,0
188,8062,"Salisbury St at W Edenton St",,35.781580,-78.640078,,,,,,0
189,8063,"Salisbury St at W Morgan St",,35.779922,-78.640177,,,,,,0
